SiteName,County,AQI,Pollutant,Status,SO2,CO,CO_8hr,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,PublishTime,PM2.5_AVG,PM10_AVG,Latitude,Longitude
崙背,雲林縣,115,細懸浮微粒,對敏感族群不健康,1.9,0.28,0.3,35,44,63,23,8,9.9,1.9,0.8,347,11/12/2018 19:00,41,71,23.757547,120.348742
富貴角,新北市,71,細懸浮微粒,普通,0.3,0.32,0.3,38,42,39,16,4.4,4.4,0,8.8,42,11/12/2018 19:00,24,48,25.298562,121.536763
麥寮,雲林縣,129,細懸浮微粒,對敏感族群不健康,1.4,0.32,0.5,43,36,78,34,5,6,1,3.3,5.2,11/12/2018 19:00,46,125,23.753506,120.251825
關山,臺東縣,30,,良好,0.9,-,,12,24,25,,6.9,8.9,2,0.4,174,11/12/2018 19:00,9,20,23.045083,121.161933
馬公,澎湖縣,66,細懸浮微粒,普通,1.1,0.35,0.3,58,58,36,27,3.5,4.8,1.3,4.3,20,11/12/2018 19:00,21,32,23.569031,119.566158
金門,金門縣,80,細懸浮微粒,普通,3.1,0.47,0.4,42,46,38,20,13,13,0.5,2.7,98,11/12/2018 19:00,27,46,24.432133,118.312256
馬祖,連江縣,38,,良好,2.4,0.29,0.4,42,39,19,10,3.3,3.4,0.1,2.1,317,11/12/2018 19:00,12,25,26.160469,119.949875
埔里,南投縣,86,細懸浮微粒,普通,2.6,0.46,0.4,46,57,71,34,17,18,1.2,0.5,65,11/12/2018 19:00,30,62,23.968842,120.967903
復興,高雄市,104,細懸浮微粒,對敏感族群不健康,3.4,1.16,0.6,,55,97,35,32,37,5.5,1.2,265,11/12/2018 19:00,37,76,22.608711,120.312017
永和,新北市,80,細懸浮微粒,普通,1,0.79,0.8,30,29,45,26,20,24,4.1,2,86,11/12/2018 19:00,27,51,25.017,121.516306
竹山,南投縣,119,細懸浮微粒,對敏感族群不健康,1.1,0.59,0.4,19,47,74,46,25,26,1.2,1.4,139,11/12/2018 19:00,42,80,23.756389,120.677306
中壢,桃園市,77,細懸浮微粒,普通,2.8,1.16,0.9,13,18,62,22,33,52,20,1.3,30,11/12/2018 19:00,26,68,24.953278,121.221667
三重,新北市,74,細懸浮微粒,普通,3.3,2.2,1.4,-,,63,22,40,101,61,,,11/12/2018 19:00,25,66,25.072611,121.493806
冬山,宜蘭縣,-1,,設備維護,3,0.33,0.4,23,32,,22,12,13,1.1,1.4,173,11/12/2018 19:00,17,,24.632203,121.792928
宜蘭,宜蘭縣,42,,良好,3,0.52,0.3,36,39,39,15,13,13,0.8,1.3,322,11/12/2018 19:00,13,31,24.747917,121.746394
陽明,臺北市,44,,良好,1.8,0.29,0.2,38,38,8,9,2.4,2.7,0.3,,,11/12/2018 19:00,13,22,25.182722,121.529583
花蓮,花蓮縣,25,,良好,1.4,0.61,0.2,11,22,31,4,19,25,5.4,1,342,11/12/2018 19:00,3,27,23.971306,121.599769
臺東,臺東縣,21,,良好,1.7,0.42,0.3,19,23,20,5,10,12,1.6,0.9,312,11/12/2018 19:00,5,19,22.755358,121.15045
恆春,屏東縣,32,,良好,1.4,0.13,0.1,33,35,10,4,2,2.7,0.7,4.3,21,11/12/2018 19:00,6,11,21.958069,120.788928
潮州,屏東縣,-1,,設備維護,2.4,0.3,0.3,55,58,71,,9.7,10,0.6,0.5,99,11/12/2018 19:00,,67,22.523108,120.561175
屏東,屏東縣,100,細懸浮微粒,普通,3.2,0.55,0.4,49,57,86,38,18,19,0.2,2,355,11/12/2018 19:00,35,63,22.673081,120.488033
小港,高雄市,99,細懸浮微粒,普通,4.2,0.73,0.5,40,51,70,39,29,31,1.9,1.7,20,11/12/2018 19:00,35,71,22.565833,120.337736
前鎮,高雄市,107,細懸浮微粒,對敏感族群不健康,4,0.85,0.6,39,52,87,50,30,33,3.3,2.4,12,11/12/2018 19:00,38,75,22.605386,120.307564
前金,高雄市,128,細懸浮微粒,對敏感族群不健康,4.8,0.6,0.5,42,62,84,49,20,22,1.8,3,356,11/12/2018 19:00,46,71,22.632567,120.288086
左營,高雄市,117,細懸浮微粒,對敏感族群不健康,4.5,0.54,0.4,40,62,91,41,20,21,0.6,2.7,6.3,11/12/2018 19:00,42,74,22.674861,120.292917
楠梓,高雄市,134,細懸浮微粒,對敏感族群不健康,2.9,0.49,0.4,43,58,99,57,22,23,1.4,2.2,338,11/12/2018 19:00,48,79,22.733667,120.328289
林園,高雄市,112,細懸浮微粒,對敏感族群不健康,4.3,0.4,0.4,45,59,84,47,19,19,0.2,2.5,28,11/12/2018 19:00,40,75,22.4795,120.41175
大寮,高雄市,116,細懸浮微粒,對敏感族群不健康,5.3,0.47,0.4,44,55,77,43,24,25,1.4,2,359,11/12/2018 19:00,41,74,22.565747,120.425081
鳳山,高雄市,109,細懸浮微粒,對敏感族群不健康,2.8,0.59,0.5,45,54,91,44,24,26,1.5,2.2,50,11/12/2018 19:00,38,72,22.627392,120.358083
仁武,高雄市,114,細懸浮微粒,對敏感族群不健康,,0.53,0.4,,59,86,39,24,25,0.9,2.7,341,11/12/2018 19:00,41,73,22.689056,120.332631
橋頭,高雄市,144,細懸浮微粒,對敏感族群不健康,2.8,0.5,0.4,38,58,93,58,21,22,0.6,2.3,15,11/12/2018 19:00,52,77,22.757506,120.305689
美濃,高雄市,92,細懸浮微粒,普通,2,0.39,0.3,48,52,94,47,11,12,0.7,1.3,12,11/12/2018 19:00,32,66,22.883583,120.530542
臺南,臺南市,118,細懸浮微粒,對敏感族群不健康,2.6,0.57,0.5,37,57,81,49,19,19,0.5,2.3,17,11/12/2018 19:00,42,80,22.984581,120.202617
安南,臺南市,127,細懸浮微粒,對敏感族群不健康,2.6,0.41,0.3,41,60,87,48,13,14,0.9,2,356,11/12/2018 19:00,46,86,23.048197,120.2175
善化,臺南市,130,細懸浮微粒,對敏感族群不健康,1.8,0.35,0.3,30,50,92,57,14,15,0.8,2.4,4.5,11/12/2018 19:00,47,91,23.115097,120.297142
新營,臺南市,128,細懸浮微粒,對敏感族群不健康,2.2,0.38,0.4,29,43,64,37,15,15,0.2,2,11,11/12/2018 19:00,46,74,23.305633,120.31725
嘉義,嘉義市,115,細懸浮微粒,對敏感族群不健康,5.9,0.65,0.5,20,45,80,36,32,33,1,1.9,24,11/12/2018 19:00,41,77,23.462778,120.440833
臺西,雲林縣,89,細懸浮微粒,普通,1.3,0.28,0.3,55,54,60,18,3.2,4,0.8,5.1,20,11/12/2018 19:00,31,61,23.717533,120.202842
朴子,嘉義縣,140,細懸浮微粒,對敏感族群不健康,1.7,0.32,0.4,36,53,65,47,11,11,0.5,1.6,20,11/12/2018 19:00,51,78,23.465308,120.24735
新港,嘉義縣,124,細懸浮微粒,對敏感族群不健康,2.4,0.34,0.4,35,48,74,39,10,11,0.6,2.1,352,11/12/2018 19:00,44,85,23.554839,120.345531
斗六,雲林縣,115,細懸浮微粒,對敏感族群不健康,4,0.52,0.4,20,45,82,41,27,30,2.8,1.2,26,11/12/2018 19:00,41,76,23.711853,120.544994
南投,南投縣,97,細懸浮微粒,普通,2.6,0.65,0.5,12,35,66,35,42,47,4.3,0.9,24,11/12/2018 19:00,34,69,23.913,120.685306
二林,彰化縣,87,細懸浮微粒,普通,2.5,0.38,0.3,36,42,73,28,8.4,9.5,1.1,2.3,17,11/12/2018 19:00,30,70,23.925175,120.409653
線西,彰化縣,88,細懸浮微粒,普通,2.7,0.34,0.3,41,44,60,34,11,11,0.6,2.9,42,11/12/2018 19:00,31,56,24.131672,120.469061
彰化,彰化縣,81,細懸浮微粒,普通,2.9,0.73,0.5,30,42,44,25,24,26,2.5,1.2,316,11/12/2018 19:00,28,49,24.066,120.541519
西屯,臺中市,95,細懸浮微粒,普通,1.7,0.38,0.3,36,45,63,21,17,17,-0.1,2.9,15,11/12/2018 19:00,33,62,24.162197,120.616917
忠明,臺中市,90,細懸浮微粒,普通,1.7,0.47,0.4,31,36,47,23,20,22,1.8,2.2,38,11/12/2018 19:00,31,50,24.151958,120.641092
大里,臺中市,70,細懸浮微粒,普通,3.4,0.62,0.5,29,42,51,14,24,24,0.4,1.6,13,11/12/2018 19:00,23,53,24.099611,120.677689
沙鹿,臺中市,81,細懸浮微粒,普通,1.8,0.45,0.3,37,46,51,32,15,16,0.8,3.1,0.4,11/12/2018 19:00,28,43,24.225628,120.568794
豐原,臺中市,92,細懸浮微粒,普通,1.9,0.41,0.3,31,42,54,35,16,17,1.3,0.8,102,11/12/2018 19:00,32,55,24.256586,120.741711
三義,苗栗縣,96,細懸浮微粒,普通,2.6,0.36,0.3,36,45,57,36,15,15,0.5,3.3,27,11/12/2018 19:00,34,49,24.382942,120.758833
苗栗,苗栗縣,87,細懸浮微粒,普通,2.8,0.54,0.4,28,32,61,28,16,17,1.2,2.4,47,11/12/2018 19:00,30,58,24.565269,120.8202
頭份,苗栗縣,89,細懸浮微粒,普通,2.1,0.47,0.4,33,40,64,34,12,14,1.7,2.9,52,11/12/2018 19:00,31,55,24.696969,120.898572
新竹,新竹市,97,細懸浮微粒,普通,2,0.49,0.4,31,38,59,35,16,16,0.4,3.6,44,11/12/2018 19:00,34,66,24.805619,120.972075
竹東,新竹縣,76,細懸浮微粒,普通,2.9,0.47,0.4,24,31,67,30,18,19,1.6,0.7,192,11/12/2018 19:00,26,58,24.740644,121.088903
湖口,新竹縣,79,細懸浮微粒,普通,2.1,0.39,0.3,40,45,46,25,9.4,10,1,5.1,48,11/12/2018 19:00,27,53,24.900142,121.038653
龍潭,桃園市,91,細懸浮微粒,普通,2.3,0.71,0.5,25,36,63,35,23,25,2.7,2.4,46,11/12/2018 19:00,32,65,24.863869,121.21635
平鎮,桃園市,84,細懸浮微粒,普通,2.8,0.56,0.4,30,33,48,32,19,21,2,3.2,31,11/12/2018 19:00,29,57,24.952786,121.203986
觀音,桃園市,86,細懸浮微粒,普通,6.5,0.4,0.3,33,43,40,19,10,11,0.7,6.6,57,11/12/2018 19:00,30,53,25.035503,121.082761
大園,桃園市,79,細懸浮微粒,普通,2.2,0.42,0.3,36,42,28,14,11,13,2.1,6.8,34,11/12/2018 19:00,27,46,25.060344,121.201811
桃園,桃園市,69,細懸浮微粒,普通,2.8,0.67,0.5,27,31,31,21,16,19,2.3,2.6,43,11/12/2018 19:00,23,39,24.994789,121.319964
大同,臺北市,77,細懸浮微粒,普通,2.2,1.38,1.3,-,,44,22,37,70,34,,,11/12/2018 19:00,26,55,25.0632,121.513311
松山,臺北市,76,細懸浮微粒,普通,0.7,0.56,0.5,26,30,44,18,20,23,2.4,2,47,11/12/2018 19:00,26,53,25.05,121.578611
古亭,臺北市,77,細懸浮微粒,普通,1.3,0.65,0.5,27,35,51,28,22,26,3.8,2.1,86,11/12/2018 19:00,26,54,25.020608,121.529556
萬華,臺北市,74,細懸浮微粒,普通,0.7,0.65,0.6,21,28,35,25,27,31,4.3,2.4,101,11/12/2018 19:00,25,45,25.046503,121.507972
中山,臺北市,77,細懸浮微粒,普通,2.1,0.9,0.7,16,25,44,14,31,40,8.2,2.3,134,11/12/2018 19:00,26,54,25.062361,121.526528
士林,臺北市,70,細懸浮微粒,普通,1.5,0.44,0.4,31,33,35,34,13,14,1.7,4.5,40,11/12/2018 19:00,23,55,25.105417,121.515389
淡水,新北市,67,細懸浮微粒,普通,2.5,0.41,0.4,37,43,29,18,5.9,6.6,0.7,,,11/12/2018 19:00,22,42,25.1645,121.449239
林口,新北市,64,細懸浮微粒,普通,1.9,0.4,0.3,37,40,42,15,9,11,1.7,3.3,46,11/12/2018 19:00,21,56,25.077197,121.376869
菜寮,新北市,64,細懸浮微粒,普通,1.5,0.71,0.5,22,27,30,16,19,21,1.6,1.9,62,11/12/2018 19:00,21,47,25.06895,121.481028
新莊,新北市,70,細懸浮微粒,普通,1.4,0.65,0.4,24,36,57,20,24,27,3,2.8,63,11/12/2018 19:00,23,54,25.037972,121.4325
板橋,新北市,100,細懸浮微粒,普通,2.4,0.74,0.6,23,32,45,33,26,29,3,3.3,99,11/12/2018 19:00,35,56,25.012972,121.458667
土城,新北市,96,細懸浮微粒,普通,2,0.64,0.5,31,39,46,33,20,20,0.2,1.3,103,11/12/2018 19:00,34,51,24.982528,121.451861
新店,新北市,74,細懸浮微粒,普通,1.8,0.6,0.5,29,38,38,24,17,19,2,1.5,80,11/12/2018 19:00,25,46,24.977222,121.537778
萬里,新北市,64,細懸浮微粒,普通,1.8,0.35,0.3,43,45,42,15,3.9,5.7,1.9,7.2,22,11/12/2018 19:00,21,45,25.179667,121.689881
汐止,新北市,-1,,設備維護,1.2,0.45,0.4,38,40,,20,10,11,0.9,2,47,11/12/2018 19:00,26,,25.067131,121.6423
基隆,基隆市,63,細懸浮微粒,普通,1.5,0.38,0.3,38,37,50,11,6.3,6.3,-0.1,1.5,80,11/12/2018 19:00,21,49,25.129167,121.760056
